feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
lab_carga_D03_a_E28 | OLEFINAS,312,1560min (26.00h),-0.03440730884067266,0.03440730884067266,-0.08080395460670867,0.08080395460670867,55172
lab_carga_a_P201 | CARGA DE P-201 A/B-oxigenados,528,2640min (44.00h),-0.03346729367566641,0.03346729367566641,-0.025041147448616692,0.025041147448616692,56654
lab_R-202 | EFLUENTE DE R-202 transC-4=,336,1680min (28.00h),-0.031773461626348434,0.031773461626348434,0.17135100467784353,0.17135100467784353,56774
reactor_de_alquilacion | TI-1054,576,2880min (48.00h),0.030183471398083375,0.030183471398083375,0.14012718760432397,0.14012718760432397,118239
lab_R-201 | EFLUENTE DE R-201 Olefinas Totales,96,480min (8.00h),-0.028639986698016234,0.028639986698016234,-0.13418332128115665,0.13418332128115665,56774
tratamiento_de_efluentes | FIC-1203,408,2040min (34.00h),0.027472059836032795,0.027472059836032795,0.07390010256348016,0.07390010256348016,40853
lab_carga_D03_a_E28 | Relacion HF/HC,576,2880min (48.00h),0.02552240426880614,0.02552240426880614,-0.11784258315024256,0.11784258315024256,53294
tratamiento_de_efluentes | AI-1193,384,1920min (32.00h),0.022946013292408793,0.022946013292408793,0.019718200998796658,0.019718200998796658,97164
regenerador_de_acido | AI-1193,384,1920min (32.00h),0.022944719913790095,0.022944719913790095,0.019734846902417103,0.019734846902417103,97164
despropanizadora_y_despojo | TI-2385,480,2400min (40.00h),-0.022484034423964558,0.022484034423964558,-0.02527068628286641,0.02527068628286641,118610
lab_isobutano_reciclo | ALK.IC-4 DE RECICLO C-4= Butilenos,84,420min (7.00h),-0.01911619530275361,0.01911619530275361,0.24299207063824757,0.24299207063824757,55681
lab_carga_a_P201 | CARGA DE P-201 A/B 1C-4=,57,285min (4.75h),-0.018627741434984326,0.018627741434984326,0.0282312033986952,0.0282312033986952,56818
lab_R-202 | EFLUENTE DE R-202 H-2S,576,2880min (48.00h),0.01632219196721914,0.01632219196721914,-0.36982489841015054,0.36982489841015054,37136
lab_isobutano_reciclo | Relacion 2 Ol/iso,48,240min (4.00h),-0.008402002012884697,0.008402002012884697,0.027055036638436294,0.027055036638436294,55025
